,,,Salary,Salary,Salary,Salary,Salary,Salary,,
209,Robin Lopez\lopezro01,MIL,$4767000,$5005350,,,,,Room Exception,$4767000
210,JaMychal Green\greenja01,LAC,$4767000,$5005350,,,,,Room Exception,$4767000
211,Justin Holiday\holidju01,IND,$4767000,,,,,,Room Exception,$4767000
212,Garrett Temple\templga01,BRK,$4767000,$5005350,,,,,Room Exception,$4767000
213,Enes Kanter\kanteen01,BOS,$4767000,$5005350,,,,,Room Exception,$4767000
214,Collin Sexton\sextoco01,CLE,$4764960,$4991880,$6349671,,,,1st Round Pick,$9756840
215,Rodney McGruder\mcgruro01,LAC,$4629630,$5000000,$5370370,,,,,$15000000
216,Kevon Looney\looneke01,GSW,$4629630,$5000000,$5370370,,,,,$9629630
217,Rui Hachimura\hachiru01,WAS,$4469160,$4692840,$4916160,$6263188,,,1st Round Pick,$9162000
218,Dennis Smith\smithde03,NYK,$4463640,$5686677,,,,,1st Round Pick,$10150317
219,Jamal Murray\murraja01,DEN,$4444746,$29250000,$31590000,$33930000,$36270000,$38610000,1st Round pick,$174094746
220,Kevin Knox\knoxke01,NYK,$4380120,$4588680,$5845978,,,,1st Round Pick,$8968800
221,Cam Reddish\reddica01,ATL,$4245720,$4458000,$4670160,$5954454,,,1st Round Pick,$8703720
222,Zach Collins\colliza01,POR,$4240200,$5406255,,,,,1st Round Pick,$9646455
223,Mikal Bridges\bridgmi01,PHO,$4161000,$4359000,$5557725,,,,1st Round Pick,$8520000
224,Alex Len\lenal01,ATL,$4160000,,,,,,Room Exception,$4160000
225,Cameron Johnson\johnsca02,PHO,$4033440,$4235160,$4437000,$5887899,,,1st Round Pick,$8268600
226,Malik Monk\monkma01,CHO,$4028400,$5345687,,,,,1st Round Pick,$9374087
227,Dorian Finney-Smith\finnedo01,DAL,$4000000,$4000000,$4000000,,,,,$12000000
228,JaVale McGee\mcgeeja01,LAL,$4000000,$4200000,,,,,,$8200000
229,Patrick McCaw\mccawpa01,TOR,$4000000,$4000000,,,,,MLE,$8000000
230,Reggie Bullock\bullore01,NYK,$4000000,$4200000,,,,,Room Exception,$5000000
231,Shai Gilgeous-Alexander\gilgesh01,OKC,$3952920,$4141320,$5495532,,,,1st Round Pick,$8094240
232,Nicolò Melli\mellini01,NOP,$3902439,$4097561,,,,,Room Exception,$8000000
233,PJ Washington\washipj01,CHO,$3831840,$4023600,$4215120,$5808435,,,1st Round Pick,$7855440
234,Luke Kennard\kennalu01,DET,$3827160,$5273826,,,,,1st Round Pick,$9100986
