Name,Team,Salary
"Salah Mejri, C",Dallas Mavericks,1471382.00
NAME,TEAM,SALARY
"Jarell Martin, F",Memphis Grizzlies,1471382.00
"Tony Allen, SG",New Orleans Pelicans,1471382.00
"Willie Reed, C",LA Clippers,1471382.00
"Perry Jones, SF",New Orleans Pelicans,1471382.00
"Ian Clark, G",New Orleans Pelicans,1471382.00
"Axel Toupane, SG",New Orleans Pelicans,1471382.00
"Jeremy Evans, F",Atlanta Hawks,1471382.00
"Caleb Swanigan, PF",Portland Trail Blazers,1465920.00
"Jordan Adams, SG",Memphis Grizzlies,1465080.00
"Richard Jefferson, F",Denver Nuggets,1454756.00
NAME,TEAM,SALARY
"Kyle Kuzma, PF",Los Angeles Lakers,1423560.00
"Tony Bradley, C",Utah Jazz,1414920.00
"Derrick White, PG",San Antonio Spurs,1404600.00
"Josh Hart, SG",Los Angeles Lakers,1394520.00
"Timothe Luwawu-Cabarrot, SG",Philadelphia 76ers,1386600.00
"Josh Smith, PF",New Orleans Pelicans,1379940.00
"Dwayne Bacon, SG",Charlotte Hornets,1378242.00
"Tyler Dorsey, G",Atlanta Hawks,1378242.00
"Khem Birch, C",Orlando Magic,1378242.00
"Wes Iwundu, SF",Orlando Magic,1378242.00
NAME,TEAM,SALARY
"Damyean Dotson, SG",New York Knicks,1378242.00
"Jordan Bell, PF",Golden State Warriors,1378242.00
"Jaylen Morris, G",Atlanta Hawks,1378242.00
"Sterling Brown, SG",Milwaukee Bucks,1378242.00
"Rodney Purvis, G",Orlando Magic,1378242.00
"Ike Anigbogu, C",Indiana Pacers,1378242.00
"Antonius Cleveland, SG",Dallas Mavericks,1378242.00
"Alfonzo McKinnie, SF",Toronto Raptors,1378242.00
"Alex Poythress, F",Indiana Pacers,1378242.00
"Guillermo Hernangomez, C",New York Knicks,1350000.00
NAME,TEAM,SALARY
"Sasha Kaun, C",Philadelphia 76ers,1333240.00
"Brice Johnson, PF",Memphis Grizzlies,1331160.00
"Jarrod Uthoff, F",Memphis Grizzlies,1312611.00
"Patrick McCaw, SG",Golden State Warriors,1312611.00
"Kyle Wiltjer, F",Toronto Raptors,1312611.00
"Davis Bertans, SF",San Antonio Spurs,1312611.00
"Carrick Felix, SG",Washington Wizards,1312611.00
"Chasson Randle, G",Washington Wizards,1312611.00
"Daniel Ochefu, PF",Washington Wizards,1312611.00
"Semaj Christon, PG",Oklahoma City Thunder,1312611.00
NAME,TEAM,SALARY
"Bryn Forbes, SG",San Antonio Spurs,1312611.00
"Dejounte Murray, PG",San Antonio Spurs,1312611.00
"Tyler Ulis, G",Phoenix Suns,1312611.00
"Yogi Ferrell, PG",Dallas Mavericks,1312611.00
"Chinanu Onuaku, C",Houston Rockets,1312611.00
"Skal Labissiere, PF",Sacramento Kings,1312611.00
"Cheick Diallo, PF",New Orleans Pelicans,1312611.00
"Patricio Garino, SG",Orlando Magic,1312611.00
"Jake Layman, SF",Portland Trail Blazers,1312611.00
"AJ Hammons, C",Miami Heat,1312611.00
NAME,TEAM,SALARY
"Stephen Zimmerman, C",Los Angeles Lakers,1312611.00
"Ivica Zubac, C",Los Angeles Lakers,1312611.00
"DeQuan Jones, SF",Indiana Pacers,1312611.00
"Shawn Long, C",Melbourne Melbourne United,1312611.00
"Deyonta Davis, F",Memphis Grizzlies,1312611.00
"Michael Gbinije, SG",Golden State Warriors,1312611.00
"Andrew Harrison, G",Memphis Grizzlies,1312611.00
"Kalin Lucas, G",Detroit Pistons,1312611.00
"Isaiah Whitehead, G",Brooklyn Nets,1312611.00
"Dorian Finney-Smith, SF",Dallas Mavericks,1312611.00
NAME,TEAM,SALARY
"Edy Tavares, C",Cleveland Cavaliers,1312611.00
"Diamond Stone, C",Chicago Bulls,1312611.00
"Paul Zipser, F",Chicago Bulls,1312611.00
"Wayne Selden, G",Memphis Grizzlies,1312611.00
"Marcus Georges-Hunt, F",Minnesota Timberwolves,1312611.00
"Damian Jones, C",Golden State Warriors,1312611.00
"Nicolas Brussino, SF",Atlanta Hawks,1312611.00
"Sheldon Mac, SG",Atlanta Hawks,1312611.00
"Khris Middleton, SF",Milwaukee Bucks,1300000.00
"Semi Ojeleye, PF",Boston Celtics,1291892.00
