Name,Team,Salary,Column 7
"Chris Wright, SF",Oklahoma City Thunder,980431.00,
NAME,TEAM,SALARY,
"Markel Brown, G",Oklahoma City Thunder,980431.00,
"Raymond Felton, G",LA Clippers,980431.00,
"Eric Moreland, C",Oklahoma City Thunder,980431.00,
"Jordan Farmar, PG",Sacramento Kings,980431.00,
"Greg Stiemsma, C",Portland Trail Blazers,980431.00,
"Cory Jefferson, F",Philadelphia 76ers,980431.00,
"James Michael McAdoo, SF",Golden State Warriors,980431.00,
"Elton Brand, PF",Philadelphia 76ers,980431.00,
"Damjan Rudez, SF",Orlando Magic,980431.00,
"Arinze Onuaku, PF",Orlando Magic,980431.00,
NAME,TEAM,SALARY,
"Sasha Vujacic, SG",New York Knicks,980431.00,
"Lou Amundson, PF",New York Knicks,980431.00,
"Joe Harris, SG",Brooklyn Nets,980431.00,
"Marcus Thornton, SG",Washington Wizards,980431.00,
"Toure' Murry, SF",Minnesota Timberwolves,980431.00,
"John Lucas III, PG",Minnesota Timberwolves,980431.00,
"Rasual Butler, SF",Minnesota Timberwolves,980431.00,
"Steve Novak, SF",Milwaukee Bucks,980431.00,
"Orlando Johnson, SG",Milwaukee Bucks,980431.00,
"Xavier Henry, SG",Milwaukee Bucks,980431.00,
NAME,TEAM,SALARY,
"Jason Terry, G",Milwaukee Bucks,980431.00,
"Metta World Peace, SF",Los Angeles Lakers,980431.00,
"Brandon Bass, PF",LA Clippers,980431.00,
"Dorell Wright, SF",LA Clippers,980431.00,
"Alan Anderson, SG",LA Clippers,980431.00,
"JaMychal Green, PF",Memphis Grizzlies,980431.00,
"JaKarr Sampson, SF",Indiana Pacers,980431.00,
"Shayne Whittington, PF",Indiana Pacers,980431.00,
"Terrence Jones, PF",Milwaukee Bucks,980431.00,
"Gerald Green, SG",Boston Celtics,980431.00,
NAME,TEAM,SALARY,
"Pablo Prigioni, PG",Houston Rockets,980431.00,
"Anderson Varejao, C",Golden State Warriors,980431.00,
"Elliot Williams, SG",Golden State Warriors,980431.00,
"David West, F",Golden State Warriors,980431.00,
"Devyn Marble, G",Golden State Warriors,980431.00,
"Phil Pressey, PG",Golden State Warriors,980431.00,
"Cameron Bairstow, PF",Detroit Pistons,980431.00,
"Beno Udrih, PG",Detroit Pistons,980431.00,
"Jorge Gutierrez, G",Denver Nuggets,980431.00,
"Jerami Grant, PF",Oklahoma City Thunder,980431.00,
NAME,TEAM,SALARY,
"Robbie Hummel, SF",Denver Nuggets,980431.00,
"Chris Andersen, PF",Cleveland Cavaliers,980431.00,
"James Jones, SG",Cleveland Cavaliers,980431.00,
"Sean Kilpatrick, G",Brooklyn Nets,980431.00,
"Ian Clark, G",Golden State Warriors,980431.00,
"Robert Sacre, C",New Orleans Pelicans,980431.00,
"Thomas Robinson, F",Los Angeles Lakers,980431.00,
"Will Bynum, PG",Atlanta Hawks,980431.00,
"Stephen Zimmerman, C",Orlando Magic,950000.00,
"Andrew Harrison, G",Memphis Grizzlies,945000.00,
