"player_id","player_name.x","SALARY","fantasy_points","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","salaryPerPoints","predResponse"
"kaminfr01","Frank Kaminsky",2730000,1486.2,"C",23,"CHO",75,16,1954,320,802,0.399,116,354,0.328,204,448,0.455,0.471,118,156,0.756,57,279,336,162,46,34,76,139,874,1836.89947517158,"4395.16239689023"
"kanteen01","Enes Kanter",17145838,1504.9,"C",24,"OKC",72,0,1533,402,737,0.545,5,38,0.132,397,699,0.568,0.549,224,285,0.786,195,287,482,67,32,38,123,154,1033,11393.3404212904,"6418.58681177746"
"kiddgmi01","Michael Kidd-Gilchrist",1.3e+07,1700,"SF",23,"CHO",81,81,2349,295,618,0.477,1,9,0.111,294,609,0.483,0.478,152,194,0.784,156,409,565,114,81,77,56,187,743,7647.05882352941,"5774.28331169671"
"knighbr03","Brandon Knight",12606250,775.6,"SG",25,"PHO",54,5,1140,209,525,0.398,45,139,0.324,164,386,0.425,0.441,132,154,0.857,25,93,118,130,27,5,88,87,595,16253.5456420835,"8632.02574117666"
"korveky01","Kyle Korver",5239437,1069.2,"SG",35,"TOT",67,22,1753,239,515,0.464,162,359,0.451,77,156,0.494,0.621,38,42,0.905,7,179,186,110,34,21,69,107,678,4900.33389450056,"8526.63313320133"
"korveky01","Kyle Korver",5239437,536.9,"SG",35,"CLE",35,1,859,131,269,0.487,97,200,0.485,34,69,0.493,0.667,14,15,0.933,7,90,97,35,11,8,29,60,373,9758.68318122556,"33378.8617758578"
"korveky01","Kyle Korver",5239437,532.3,"SG",35,"ATL",32,21,894,108,246,0.439,65,159,0.409,43,87,0.494,0.571,24,27,0.889,0,89,89,75,23,13,40,47,305,9843.01521698291,"27211.8261654646"
"lambje01","Jeremy Lamb",6511628,982.3,"SG",24,"CHO",62,5,1143,226,491,0.46,41,146,0.281,185,345,0.536,0.502,110,129,0.853,30,234,264,75,27,23,40,98,603,6628.96060266721,"6004.83423366103"
"lavinza01","Zach LaVine",2240880,1189.5,"SG",21,"MIN",47,47,1749,326,710,0.459,120,310,0.387,206,400,0.515,0.544,117,140,0.836,19,141,160,139,41,10,85,104,889,1883.88398486759,"5169.31046338237"
"leeco01","Courtney Lee",11242000,1470.3,"SG",31,"NYK",77,74,2459,321,704,0.456,108,269,0.401,213,435,0.49,0.533,85,98,0.867,53,206,259,179,81,24,69,141,835,7646.05862749099,"9219.89794811154"
